sss_year,credit,num_children,filing_status,variable,value
2025,eitc,0,all,max_credit,649
2025,eitc,0,all,phase_in_rate,0.0765
2025,eitc,0,all,phase_out_rate,0.0765
2025,eitc,0,all,income_at_max,8490
2025,eitc,0,single,phase_out_start,10620
2025,eitc,0,married,phase_out_start,17730
2025,eitc,0,single,phase_out_end,19104
2025,eitc,0,married,phase_out_end,26214
2025,eitc,1,all,max_credit,4328
2025,eitc,1,all,phase_in_rate,0.34
2025,eitc,1,all,phase_out_rate,0.1598
2025,eitc,1,all,income_at_max,12730
2025,eitc,1,single,phase_out_start,23350
2025,eitc,1,married,phase_out_start,30470
2025,eitc,1,single,phase_out_end,50434
2025,eitc,1,married,phase_out_end,57554
2025,eitc,2,all,max_credit,7152
2025,eitc,2,all,phase_in_rate,0.4
2025,eitc,2,all,phase_out_rate,0.2106
2025,eitc,2,all,income_at_max,17880
2025,eitc,2,single,phase_out_start,23350
2025,eitc,2,married,phase_out_start,30470
2025,eitc,2,single,phase_out_end,57310
2025,eitc,2,married,phase_out_end,64430
2025,eitc,3,all,max_credit,8046
2025,eitc,3,all,phase_in_rate,0.45
2025,eitc,3,all,phase_out_rate,0.2106
2025,eitc,3,all,income_at_max,17880
2025,eitc,3,single,phase_out_start,23350
2025,eitc,3,married,phase_out_start,30470
2025,eitc,3,single,phase_out_end,61555
2025,eitc,3,married,phase_out_end,68675
2025,ctc,NA,NA,percentage,0.15
2025,ctc,NA,NA,max_per_child,2000
2025,ctc,NA,NA,min_earning_threshold,2500
2025,ctc,NA,NA,max_refundable,1700
2025,ctc,NA,NA,dependent_credit,500
2025,cdctc,NA,NA,lowest_bracket,15000
2025,cdctc,NA,NA,bracket_interval,2000
2025,cdctc,NA,NA,top_bracket_amount,43000
2025,cdctc,NA,NA,highest_rate,0.35
2025,cdctc,NA,NA,rate_interval,0.01
2025,cdctc,NA,NA,lowest_rate,0.2
2025,cdctc,1,NA,max_credit,3000
2025,cdctc,2,NA,max_credit,6000
2026,eitc,0,all,max_credit,665
2026,eitc,0,all,phase_in_rate,0.0765
2026,eitc,0,all,phase_out_rate,0.0765
2026,eitc,0,all,income_at_max,8680
2026,eitc,0,single,phase_out_start,10860
2026,eitc,0,married,phase_out_start,18140
2026,eitc,0,single,phase_out_end,19540
2026,eitc,0,married,phase_out_end,26820
2026,eitc,1,all,max_credit,4427
2026,eitc,1,all,phase_in_rate,0.34
2026,eitc,1,all,phase_out_rate,0.1598
2026,eitc,1,all,income_at_max,13020
2026,eitc,1,single,phase_out_start,23890
2026,eitc,1,married,phase_out_start,31160
2026,eitc,1,single,phase_out_end,51593
2026,eitc,1,married,phase_out_end,58867
2026,eitc,2,all,max_credit,7316
2026,eitc,2,all,phase_in_rate,0.4
2026,eitc,2,all,phase_out_rate,0.2106
2026,eitc,2,all,income_at_max,18290
2026,eitc,2,single,phase_out_start,23890
2026,eitc,2,married,phase_out_start,31160
2026,eitc,2,single,phase_out_end,58629
2026,eitc,2,married,phase_out_end,65899
2026,eitc,3,all,max_credit,8231
2026,eitc,3,all,phase_in_rate,0.45
2026,eitc,3,all,phase_out_rate,0.2106
2026,eitc,3,all,income_at_max,18290
2026,eitc,3,single,phase_out_start,23890
2026,eitc,3,married,phase_out_start,31160
2026,eitc,3,single,phase_out_end,62974
2026,eitc,3,married,phase_out_end,70244
2026,ctc,NA,NA,percentage,0.15
2026,ctc,NA,NA,max_per_child,2200
2026,ctc,NA,NA,min_earning_threshold,2500
2026,ctc,NA,NA,max_refundable,1700
2026,ctc,NA,NA,dependent_credit,500
2026,cdctc,NA,NA,lowest_bracket,15000
2026,cdctc,NA,NA,bracket_interval,2000
2026,cdctc,NA,NA,top_bracket_amount,43000
2026,cdctc,NA,NA,highest_rate,0.35
2026,cdctc,NA,NA,rate_interval,0.01
2026,cdctc,NA,NA,lowest_rate,0.2
2026,cdctc,1,NA,max_credit,3000
2026,cdctc,2,NA,max_credit,6000
