"year","credit","num_children","filing_status","variable","value"
2026,"eitc",0,"all","max_credit",649
2026,"eitc",0,"all","phase_in_rate",0.0765
2026,"eitc",0,"all","phase_out_rate",0.0765
2026,"eitc",0,"all","income_at_max",8490
2026,"eitc",0,"single","phase_out_start",10620
2026,"eitc",0,"married","phase_out_start",17730
2026,"eitc",0,"single","phase_out_end",19104
2026,"eitc",0,"married","phase_out_end",26214
2026,"eitc",1,"all","max_credit",4328
2026,"eitc",1,"all","phase_in_rate",0.34
2026,"eitc",1,"all","phase_out_rate",0.1598
2026,"eitc",1,"all","income_at_max",12730
2026,"eitc",1,"single","phase_out_start",23350
2026,"eitc",1,"married","phase_out_start",30470
2026,"eitc",1,"single","phase_out_end",50434
2026,"eitc",1,"married","phase_out_end",57554
2026,"eitc",2,"all","max_credit",7152
2026,"eitc",2,"all","phase_in_rate",0.4
2026,"eitc",2,"all","phase_out_rate",0.2106
2026,"eitc",2,"all","income_at_max",17880
2026,"eitc",2,"single","phase_out_start",23350
2026,"eitc",2,"married","phase_out_start",30470
2026,"eitc",2,"single","phase_out_end",57310
2026,"eitc",2,"married","phase_out_end",64430
2026,"eitc",3,"all","max_credit",8046
2026,"eitc",3,"all","phase_in_rate",0.45
2026,"eitc",3,"all","phase_out_rate",0.2106
2026,"eitc",3,"all","income_at_max",17880
2026,"eitc",3,"single","phase_out_start",23350
2026,"eitc",3,"married","phase_out_start",30470
2026,"eitc",3,"single","phase_out_end",61555
2026,"eitc",3,"married","phase_out_end",68675
2026,"ctc",NA,NA,"percentage",0.15
2026,"ctc",NA,NA,"max_per_child",2000
2026,"ctc",NA,NA,"min_earning_threshold",2500
2026,"ctc",NA,NA,"max_refundable",1700
2026,"ctc",NA,NA,"dependent_credit",500
2026,"cdctc",NA,NA,"lowest_bracket",15000
2026,"cdctc",NA,NA,"bracket_interval",2000
2026,"cdctc",NA,NA,"top_bracket_amount",43000
2026,"cdctc",NA,NA,"highest_rate",0.35
2026,"cdctc",NA,NA,"rate_interval",0.01
2026,"cdctc",NA,NA,"lowest_rate",0.2
2026,"cdctc",1,NA,"max_credit",3000
2026,"cdctc",2,NA,"max_credit",6000
