fpl_year,fpl_area,hh_size,fpl
2024,FORTY_EIGHT_DC,1,15060
2024,FORTY_EIGHT_DC,2,20440
2024,FORTY_EIGHT_DC,3,25820
2024,FORTY_EIGHT_DC,4,31200
2024,FORTY_EIGHT_DC,5,36580
2024,FORTY_EIGHT_DC,6,41960
2024,FORTY_EIGHT_DC,7,47340
2024,FORTY_EIGHT_DC,8,52720
2024,FORTY_EIGHT_DC,9,58100
2024,FORTY_EIGHT_DC,10,63480
2024,FORTY_EIGHT_DC,11,70210
2024,FORTY_EIGHT_DC,12,76940
2024,FORTY_EIGHT_DC,13,83670
2024,FORTY_EIGHT_DC,14,90400
2024,FORTY_EIGHT_DC,15,97130
2024,FORTY_EIGHT_DC,16,103860
2024,FORTY_EIGHT_DC,17,110590
2024,FORTY_EIGHT_DC,18,117320
2024,FORTY_EIGHT_DC,19,124050
2024,FORTY_EIGHT_DC,20,130780
2024,AK,1,18810
2024,AK,2,25540
2024,AK,3,32270
2024,AK,4,39000
2024,AK,5,45730
2024,AK,6,52460
2024,AK,7,59190
2024,AK,8,65920
2024,AK,9,72650
2024,AK,10,79380
2024,AK,11,86110
2024,AK,12,92840
2024,AK,13,99570
2024,AK,14,106300
2024,AK,15,113030
2024,AK,16,119760
2024,AK,17,126490
2024,AK,18,133220
2024,AK,19,139950
2024,AK,20,146680
2024,HI,1,17310
2024,HI,2,23500
2024,HI,3,29690
2024,HI,4,35880
2024,HI,5,42070
2024,HI,6,48260
2024,HI,7,54450
2024,HI,8,60640
2024,HI,9,66830
2024,HI,10,73020
2024,HI,11,79750
2024,HI,12,86480
2024,HI,13,93210
2024,HI,14,99940
2024,HI,15,106670
2024,HI,16,113400
2024,HI,17,120130
2024,HI,18,126860
2024,HI,19,133590
2024,HI,20,140320
2025,FORTY_EIGHT_DC,1,15650
2025,FORTY_EIGHT_DC,2,21150
2025,FORTY_EIGHT_DC,3,26650
2025,FORTY_EIGHT_DC,4,32150
2025,FORTY_EIGHT_DC,5,37650
2025,FORTY_EIGHT_DC,6,43150
2025,FORTY_EIGHT_DC,7,48650
2025,FORTY_EIGHT_DC,8,54150
2025,FORTY_EIGHT_DC,9,59650
2025,FORTY_EIGHT_DC,10,65150
2025,FORTY_EIGHT_DC,11,70650
2025,FORTY_EIGHT_DC,12,76150
2025,FORTY_EIGHT_DC,13,81650
2025,FORTY_EIGHT_DC,14,87150
2025,FORTY_EIGHT_DC,15,92650
2025,FORTY_EIGHT_DC,16,98150
2025,FORTY_EIGHT_DC,17,103650
2025,FORTY_EIGHT_DC,18,109150
2025,FORTY_EIGHT_DC,19,114650
2025,FORTY_EIGHT_DC,20,120150
2025,AK,1,19550
2025,AK,2,26430
2025,AK,3,33310
2025,AK,4,40190
2025,AK,5,47070
2025,AK,6,53950
2025,AK,7,60830
2025,AK,8,67710
2025,AK,9,74590
2025,AK,10,81470
2025,AK,11,88350
2025,AK,12,95230
2025,AK,13,102110
2025,AK,14,108990
2025,AK,15,115870
2025,AK,16,122750
2025,AK,17,129630
2025,AK,18,136510
2025,AK,19,143390
2025,AK,20,150270
2025,HI,1,17990
2025,HI,2,24320
2025,HI,3,30650
2025,HI,4,36980
2025,HI,5,43310
2025,HI,6,49640
2025,HI,7,55970
2025,HI,8,62300
2025,HI,9,68630
2025,HI,10,74960
2025,HI,11,81290
2025,HI,12,87620
2025,HI,13,93950
2025,HI,14,100280
2025,HI,15,106610
2025,HI,16,112940
2025,HI,17,119270
2025,HI,18,125600
2025,HI,19,131930
2025,HI,20,138260
