sss_year,state,income_min,income_max,value_0,value_1,value_2,value_3,notes,source,source_url,collected_by,date_collected,Complete
2026,CA,1,50,2,7,9,10,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,needs validating
2026,CA,51,100,5,22,26,29,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,101,150,8,36,43,48,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,151,200,11,51,60,67,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,201,250,15,65,77,86,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,251,300,18,80,94,105,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,301,350,21,94,111,125,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,351,400,24,109,128,144,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,401,450,28,123,145,163,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,451,500,31,137,162,182,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,501,550,34,152,179,201,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,551,600,37,166,196,220,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,601,650,41,181,213,239,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,651,700,44,195,230,258,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,701,750,47,210,247,278,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,751,800,50,224,264,297,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,801,850,54,239,281,316,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,851,900,57,253,298,335,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,901,950,60,267,315,354,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,951,"1,000",63,282,332,373,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,001","1,050",67,296,349,392,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
