sss_year,state,applicable,program,variable,value,source,source_url,collected_by,date_collected,checked_by,date_checked,complete
2026,AK,TRUE,SUI,rate,0.005,Alaska Department of Labor and Workforce Development,https://labor.state.ak.us/estax/newsletters/newsltr0125.pdf,LMa,06/05/2025,NA,NA,NA
2026,AK,TRUE,SUI,wage_cap,51700,Alaska Department of Labor and Workforce Development,https://labor.state.ak.us/estax/newsletters/newsltr0125.pdf,LMa,06/05/2025,NA,NA,NA
2026,AL,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,AR,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,AZ,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,CA,TRUE,SDI,rate,0.012,California Employment Development Department (EDD),EDD Contribution Rates,LMa,06/05/2025,NA,NA,NA
2026,CA,TRUE,SDI,wage_cap,Inf,California Employment Development Department (EDD),EDD Contribution Rates,LMa,06/05/2025,NA,NA,NA
2026,CO,TRUE,FAMLI,rate,0.0045,Colorado Department of Labor and Employment (CDLE),https://famli.colorado.gov/employers,LMa,06/05/2025,NA,NA,NA
2026,CO,TRUE,FAMLI,wage_cap,176100,Colorado Department of Labor and Employment (CDLE),https://famli.colorado.gov/employers,LMa,06/05/2025,NA,NA,NA
2026,CT,TRUE,CTPL,rate,0.005,"Connecticut Paid Leave Authority. Contributions: How CT Paid Leave Works. Accessed May 27, 2025. https://www.ctpaidleave.org/how-ct-paid-leave-works/contributions?language=en_US.",https://www.ctpaidleave.org/how-ct-paid-leave-works/contributions?language=en_US,Aku,06/02/2025,LMa,06/05/2025,complete
2026,CT,TRUE,CTPL,wage_cap,176100,"Connecticut Paid Leave Authority. Contributions: How CT Paid Leave Works. Accessed May 27, 2025. https://www.ctpaidleave.org/how-ct-paid-leave-works/contributions?language=en_US.",https://www.ctpaidleave.org/how-ct-paid-leave-works/contributions?language=en_US,Aku,06/02/2025,LMa,06/05/2025,complete
2026,DC,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,DE,TRUE,PL,rate,0.0016,"Delaware Department of Labor. Delaware Paid Leave Benefits Contribution Calculator. Accessed May 27, 2025. https://labor.delaware.gov/delaware-paid-leave-is-coming/.",https://labor.delaware.gov/delaware-paid-leave-is-coming/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,DE,TRUE,PL,wage_cap,176100,"Delaware Department of Labor. Delaware Paid Leave Benefits Contribution Calculator. Accessed May 27, 2025. https://labor.delaware.gov/delaware-paid-leave-is-coming/.",https://labor.delaware.gov/delaware-paid-leave-is-coming/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,DE,TRUE,ML,rate,0.002,"Delaware Department of Labor. Delaware Paid Leave Benefits Contribution Calculator. Accessed May 27, 2025. https://labor.delaware.gov/delaware-paid-leave-is-coming/.",https://labor.delaware.gov/delaware-paid-leave-is-coming/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,DE,TRUE,ML,wage_cap,176100,"Delaware Department of Labor. Delaware Paid Leave Benefits Contribution Calculator. Accessed May 27, 2025. https://labor.delaware.gov/delaware-paid-leave-is-coming/.",https://labor.delaware.gov/delaware-paid-leave-is-coming/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,DE,TRUE,FCL,rate,4e-4,"Delaware Department of Labor. Delaware Paid Leave Benefits Contribution Calculator. Accessed May 27, 2025. https://labor.delaware.gov/delaware-paid-leave-is-coming/.",https://labor.delaware.gov/delaware-paid-leave-is-coming/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,DE,TRUE,FCL,wage_cap,176100,"Delaware Department of Labor. Delaware Paid Leave Benefits Contribution Calculator. Accessed May 27, 2025. https://labor.delaware.gov/delaware-paid-leave-is-coming/.",https://labor.delaware.gov/delaware-paid-leave-is-coming/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,FL,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,GA,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,HI,TRUE,TDI,rate,0.005,"Hawaii Department of Labor and Industrial Relations. 2025 Maximum Weekly Wage Base. Revised March 2025. Accessed May 27, 2025. https://labor.hawaii.gov/dcd/files/2023/05/2025-Max-Weekly-Wage-Base-Rev-2025.03.pdf.",https://labor.hawaii.gov/dcd/files/2023/05/2025-Max-Weekly-Wage-Base-Rev-2025.03.pdf,Aku,06/02/2025,LMa,06/05/2025,NA
2026,HI,TRUE,TDI,wage_cap,75174.74093,"Hawaii Department of Labor and Industrial Relations. 2025 Maximum Weekly Wage Base. Revised March 2025. Accessed May 27, 2025. https://labor.hawaii.gov/dcd/files/2023/05/2025-Max-Weekly-Wage-Base-Rev-2025.03.pdf.",https://labor.hawaii.gov/dcd/files/2023/05/2025-Max-Weekly-Wage-Base-Rev-2025.03.pdf,Aku,06/02/2025,LMa,06/05/2025,NA
2026,IA,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,ID,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,IL,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,IN,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,IO,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,KS,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,KY,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,LA,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,MA,TRUE,ML,rate,0.0028,"Commonwealth of Massachusetts. Paid Family and Medical Leave Employer Contribution Rates and Calculator.Accessed May 27, 2025. https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator.",https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator?utm_source=chatgpt.com#overview-,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MA,TRUE,ML,wage_cap,176100,"Commonwealth of Massachusetts. Paid Family and Medical Leave Employer Contribution Rates and Calculator.Accessed May 27, 2025. https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator.",https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator?utm_source=chatgpt.com#overview-,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MA,TRUE,FL,rate,0.0018,"Commonwealth of Massachusetts. Paid Family and Medical Leave Employer Contribution Rates and Calculator.Accessed May 27, 2025. https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator.",https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator?utm_source=chatgpt.com#overview-,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MA,TRUE,FL,wage_cap,176100,"Commonwealth of Massachusetts. Paid Family and Medical Leave Employer Contribution Rates and Calculator.Accessed May 27, 2025. https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator.",https://www.mass.gov/info-details/paid-family-and-medical-leave-employer-contribution-rates-and-calculator?utm_source=chatgpt.com#overview-,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MD,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,ME,TRUE,MDOL,rate,0.005,Maine Department of Labor. Paid Family and Medical Leave (PFML) Frequently Asked Questions (FAQs). April 2025. https://www.maine.gov/paidleave/docs/2025/faq/faqenglish.pdf.,https://www.maine.gov/paidleave/docs/2025/faq/faqenglish.pdf,Aku,06/02/2025,LMa,06/05/2025,NA
2026,ME,TRUE,MDOL,wage_cap,176100,Maine Department of Labor. Paid Family and Medical Leave (PFML) Frequently Asked Questions (FAQs). April 2025. https://www.maine.gov/paidleave/docs/2025/faq/faqenglish.pdf.,https://www.maine.gov/paidleave/docs/2025/faq/faqenglish.pdf,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MI,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,MN,TRUE,FL,rate,0.00135,"Minnesota Department of Employment and Economic Development. Paid Leave Premiums for Employers. Accessed May 27, 2025. https://mn.gov/deed/paidleave/employers/premiums/.",https://mn.gov/deed/paidleave/employers/premiums/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MN,TRUE,FL,wage_cap,176100,"Minnesota Department of Employment and Economic Development. Paid Leave Premiums for Employers. Accessed May 27, 2025. https://mn.gov/deed/paidleave/employers/premiums/.",https://mn.gov/deed/paidleave/employers/premiums/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MN,TRUE,ML,rate,0.00305,"Minnesota Department of Employment and Economic Development. Paid Leave Premiums for Employers. Accessed May 27, 2025. https://mn.gov/deed/paidleave/employers/premiums/.",https://mn.gov/deed/paidleave/employers/premiums/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MN,TRUE,ML,wage_cap,176100,"Minnesota Department of Employment and Economic Development. Paid Leave Premiums for Employers. Accessed May 27, 2025. https://mn.gov/deed/paidleave/employers/premiums/.",https://mn.gov/deed/paidleave/employers/premiums/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,MO,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,MS,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,MT,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,NC,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,ND,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,NE,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,NH,Unconfirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,NJ,TRUE,TDI,rate,0.0023,"New Jersey Department of Labor and Workforce Development. “Employer Information: NJ Paid Family and Medical Leave.” MyLeaveBenefits.NJ.gov. Accessed June 2, 2025. https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI.",https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI,Aku,06/02/2025,LMa,06/05/2025,NA
2026,NJ,TRUE,TDI,wage_cap,NA,"New Jersey Department of Labor and Workforce Development. “Employer Information: NJ Paid Family and Medical Leave.” MyLeaveBenefits.NJ.gov. Accessed June 2, 2025. https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI.",https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI,Aku,06/02/2025,LMa,06/05/2025,NA
2026,NJ,TRUE,FLI,rate,0.0033,"New Jersey Department of Labor and Workforce Development. “Employer Information: NJ Paid Family and Medical Leave.” MyLeaveBenefits.NJ.gov. Accessed June 2, 2025. https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI.",https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI,Aku,06/02/2025,LMa,06/05/2025,NA
2026,NJ,TRUE,FLI,wage_cap,NA,"New Jersey Department of Labor and Workforce Development. “Employer Information: NJ Paid Family and Medical Leave.” MyLeaveBenefits.NJ.gov. Accessed June 2, 2025. https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI.",https://www.nj.gov/labor/myleavebenefits/employer/index.shtml?open=FLI,Aku,06/02/2025,LMa,06/05/2025,NA
2026,NJ,TRUE,UI,rate,0.003825,"New Jersey Department of Labor and Workforce Development. “Employer Contributions and Tax Rates.” NJ.gov. Accessed June 2, 2025. https://www.nj.gov/labor/ea/employer-services/rate-info/.",https://www.nj.gov/labor/ea/employer-services/rate-info/,Aku,06/02/2025,LMa,06/05/2025,NA
2026,NJ,TRUE,UI,wage_cap,43300,"New Jersey Department of Labor and Workforce Development. “Employer Contributions and Tax Rates.” NJ.gov. Accessed June 2, 2025. https://www.nj.gov/labor/ea/employer-services/rate-info/.",https://www.nj.gov/labor/ea/employer-services/rate-info/,Aku,06/02/2025,LMa,06/05/2025,NA
