sss_year,state,income_min,income_max,rent_min,rent_max,value
2026,MN,0,2210,0,25,1
2026,MN,0,2210,25,50,25
2026,MN,0,2210,50,75,49
2026,MN,0,2210,75,100,73
2026,MN,0,2210,100,125,96
2026,MN,0,2210,125,150,120
2026,MN,0,2210,150,175,144
2026,MN,0,2210,175,200,168
2026,MN,0,2210,200,225,191
2026,MN,0,2210,225,250,215
2026,MN,0,2210,250,275,239
2026,MN,0,2210,275,300,263
2026,MN,0,2210,300,325,286
2026,MN,0,2210,325,350,310
2026,MN,0,2210,350,375,334
2026,MN,0,2210,375,400,358
2026,MN,0,2210,400,425,381
2026,MN,0,2210,425,450,405
2026,MN,0,2210,450,475,429
2026,MN,0,2210,475,500,453
2026,MN,0,2210,500,525,476
2026,MN,0,2210,525,550,500
2026,MN,0,2210,550,575,524
2026,MN,0,2210,575,600,548
2026,MN,0,2210,600,625,571
2026,MN,0,2210,625,650,595
2026,MN,0,2210,650,675,619
2026,MN,0,2210,675,700,643
2026,MN,0,2210,700,725,666
2026,MN,0,2210,725,750,690
2026,MN,0,2210,750,775,714
2026,MN,0,2210,775,800,738
2026,MN,0,2210,800,825,761
2026,MN,0,2210,825,850,785
2026,MN,0,2210,850,875,809
2026,MN,0,2210,875,900,833
2026,MN,0,2210,900,925,856
2026,MN,0,2210,925,950,880
2026,MN,0,2210,950,975,904
2026,MN,0,2210,975,1000,928
2026,MN,0,2210,1000,1025,951
2026,MN,0,2210,1025,1050,975
2026,MN,0,2210,1050,1075,999
2026,MN,0,2210,1075,1100,1023
2026,MN,0,2210,1100,1125,1046
2026,MN,0,2210,1125,1150,1070
2026,MN,0,2210,1150,1175,1094
2026,MN,0,2210,1175,1200,1118
2026,MN,0,2210,1200,1225,1141
2026,MN,0,2210,1225,1250,1165
2026,MN,0,2210,1250,1275,1189
2026,MN,0,2210,1275,1300,1213
2026,MN,0,2210,1300,1325,1236
2026,MN,0,2210,1325,1350,1260
2026,MN,0,2210,1350,1375,1284
2026,MN,0,2210,1375,1400,1308
2026,MN,0,2210,1400,1425,1331
2026,MN,0,2210,1425,1450,1355
2026,MN,0,2210,1450,1475,1379
2026,MN,0,2210,1475,1500,1403
2026,MN,0,2210,1500,1525,1426
2026,MN,0,2210,1525,1550,1450
2026,MN,0,2210,1550,1575,1474
2026,MN,0,2210,1575,1600,1498
2026,MN,0,2210,1600,1625,1521
2026,MN,0,2210,1625,1650,1545
2026,MN,0,2210,1650,1675,1569
2026,MN,0,2210,1675,1700,1593
2026,MN,0,2210,1700,1725,1616
2026,MN,0,2210,1725,1750,1640
2026,MN,0,2210,1750,1775,1664
2026,MN,0,2210,1775,1800,1688
2026,MN,0,2210,1800,1825,1711
2026,MN,0,2210,1825,1850,1735
2026,MN,0,2210,1850,1875,1759
2026,MN,0,2210,1875,1900,1783
2026,MN,0,2210,1900,1925,1806
2026,MN,0,2210,1925,1950,1830
2026,MN,0,2210,1950,1975,1854
2026,MN,0,2210,1975,2000,1878
2026,MN,0,2210,2000,2025,1901
2026,MN,0,2210,2025,2050,1925
2026,MN,0,2210,2050,2075,1949
2026,MN,0,2210,2075,2100,1973
2026,MN,0,2210,2100,2125,1996
2026,MN,0,2210,2125,2150,2020
2026,MN,0,2210,2150,2175,2044
2026,MN,0,2210,2175,2200,2068
2026,MN,0,2210,2200,2225,2091
2026,MN,0,2210,2225,2250,2115
2026,MN,0,2210,2250,2275,2139
2026,MN,0,2210,2275,2300,2163
2026,MN,0,2210,2300,2325,2186
2026,MN,0,2210,2325,2350,2210
2026,MN,0,2210,2350,2375,2234
2026,MN,0,2210,2375,2400,2258
2026,MN,0,2210,2400,2425,2281
2026,MN,0,2210,2425,2450,2305
2026,MN,0,2210,2450,2475,2329
2026,MN,0,2210,2475,2500,2353
2026,MN,2210,4430,0,25,0
2026,MN,2210,4430,25,50,4
2026,MN,2210,4430,50,75,28
2026,MN,2210,4430,75,100,52
2026,MN,2210,4430,100,125,75
2026,MN,2210,4430,125,150,99
2026,MN,2210,4430,150,175,123
2026,MN,2210,4430,175,200,147
2026,MN,2210,4430,200,225,170
2026,MN,2210,4430,225,250,194
2026,MN,2210,4430,250,275,218
2026,MN,2210,4430,275,300,242
2026,MN,2210,4430,300,325,265
2026,MN,2210,4430,325,350,289
2026,MN,2210,4430,350,375,313
2026,MN,2210,4430,375,400,337
2026,MN,2210,4430,400,425,360
2026,MN,2210,4430,425,450,384
2026,MN,2210,4430,450,475,408
2026,MN,2210,4430,475,500,432
2026,MN,2210,4430,500,525,455
2026,MN,2210,4430,525,550,479
2026,MN,2210,4430,550,575,503
2026,MN,2210,4430,575,600,527
2026,MN,2210,4430,600,625,550
2026,MN,2210,4430,625,650,574
2026,MN,2210,4430,650,675,598
2026,MN,2210,4430,675,700,622
2026,MN,2210,4430,700,725,645
2026,MN,2210,4430,725,750,669
2026,MN,2210,4430,750,775,693
2026,MN,2210,4430,775,800,717
2026,MN,2210,4430,800,825,740
2026,MN,2210,4430,825,850,764
2026,MN,2210,4430,850,875,788
2026,MN,2210,4430,875,900,812
2026,MN,2210,4430,900,925,835
2026,MN,2210,4430,925,950,859
2026,MN,2210,4430,950,975,883
2026,MN,2210,4430,975,1000,907
2026,MN,2210,4430,1000,1025,930
2026,MN,2210,4430,1025,1050,954
2026,MN,2210,4430,1050,1075,978
2026,MN,2210,4430,1075,1100,1002
2026,MN,2210,4430,1100,1125,1025
2026,MN,2210,4430,1125,1150,1049
2026,MN,2210,4430,1150,1175,1073
2026,MN,2210,4430,1175,1200,1097
2026,MN,2210,4430,1200,1225,1120
2026,MN,2210,4430,1225,1250,1144
2026,MN,2210,4430,1250,1275,1168
2026,MN,2210,4430,1275,1300,1192
2026,MN,2210,4430,1300,1325,1215
2026,MN,2210,4430,1325,1350,1239
2026,MN,2210,4430,1350,1375,1263
2026,MN,2210,4430,1375,1400,1287
2026,MN,2210,4430,1400,1425,1310
2026,MN,2210,4430,1425,1450,1334
2026,MN,2210,4430,1450,1475,1358
2026,MN,2210,4430,1475,1500,1382
2026,MN,2210,4430,1500,1525,1405
2026,MN,2210,4430,1525,1550,1429
2026,MN,2210,4430,1550,1575,1453
2026,MN,2210,4430,1575,1600,1477
2026,MN,2210,4430,1600,1625,1500
2026,MN,2210,4430,1625,1650,1524
2026,MN,2210,4430,1650,1675,1548
2026,MN,2210,4430,1675,1700,1572
2026,MN,2210,4430,1700,1725,1595
2026,MN,2210,4430,1725,1750,1619
2026,MN,2210,4430,1750,1775,1643
2026,MN,2210,4430,1775,1800,1667
2026,MN,2210,4430,1800,1825,1690
2026,MN,2210,4430,1825,1850,1714
2026,MN,2210,4430,1850,1875,1738
2026,MN,2210,4430,1875,1900,1762
2026,MN,2210,4430,1900,1925,1785
2026,MN,2210,4430,1925,1950,1809
2026,MN,2210,4430,1950,1975,1833
2026,MN,2210,4430,1975,2000,1857
2026,MN,2210,4430,2000,2025,1880
2026,MN,2210,4430,2025,2050,1904
2026,MN,2210,4430,2050,2075,1928
2026,MN,2210,4430,2075,2100,1952
2026,MN,2210,4430,2100,2125,1975
2026,MN,2210,4430,2125,2150,1999
2026,MN,2210,4430,2150,2175,2023
2026,MN,2210,4430,2175,2200,2047
2026,MN,2210,4430,2200,2225,2070
2026,MN,2210,4430,2225,2250,2094
2026,MN,2210,4430,2250,2275,2118
2026,MN,2210,4430,2275,2300,2142
2026,MN,2210,4430,2300,2325,2165
2026,MN,2210,4430,2325,2350,2189
2026,MN,2210,4430,2350,2375,2213
2026,MN,2210,4430,2375,2400,2237
2026,MN,2210,4430,2400,2425,2260
2026,MN,2210,4430,2425,2450,2284
2026,MN,2210,4430,2450,2475,2308
2026,MN,2210,4430,2475,2500,2332
2026,MN,4430,6670,0,25,0
2026,MN,4430,6670,25,50,0
2026,MN,4430,6670,50,75,7
2026,MN,4430,6670,75,100,30
2026,MN,4430,6670,100,125,54
2026,MN,4430,6670,125,150,78
2026,MN,4430,6670,150,175,102
2026,MN,4430,6670,175,200,125
2026,MN,4430,6670,200,225,149
2026,MN,4430,6670,225,250,173
2026,MN,4430,6670,250,275,197
2026,MN,4430,6670,275,300,220
2026,MN,4430,6670,300,325,244
2026,MN,4430,6670,325,350,268
2026,MN,4430,6670,350,375,292
2026,MN,4430,6670,375,400,315
2026,MN,4430,6670,400,425,339
2026,MN,4430,6670,425,450,363
2026,MN,4430,6670,450,475,387
2026,MN,4430,6670,475,500,410
2026,MN,4430,6670,500,525,434
2026,MN,4430,6670,525,550,458
2026,MN,4430,6670,550,575,482
2026,MN,4430,6670,575,600,505
2026,MN,4430,6670,600,625,529
2026,MN,4430,6670,625,650,553
2026,MN,4430,6670,650,675,577
2026,MN,4430,6670,675,700,600
2026,MN,4430,6670,700,725,624
2026,MN,4430,6670,725,750,648
2026,MN,4430,6670,750,775,672
2026,MN,4430,6670,775,800,695
2026,MN,4430,6670,800,825,719
2026,MN,4430,6670,825,850,743
2026,MN,4430,6670,850,875,767
2026,MN,4430,6670,875,900,790
2026,MN,4430,6670,900,925,814
2026,MN,4430,6670,925,950,838
2026,MN,4430,6670,950,975,862
2026,MN,4430,6670,975,1000,885
2026,MN,4430,6670,1000,1025,909
2026,MN,4430,6670,1025,1050,933
2026,MN,4430,6670,1050,1075,957
2026,MN,4430,6670,1075,1100,980
2026,MN,4430,6670,1100,1125,1004
2026,MN,4430,6670,1125,1150,1028
2026,MN,4430,6670,1150,1175,1052
2026,MN,4430,6670,1175,1200,1075
2026,MN,4430,6670,1200,1225,1099
2026,MN,4430,6670,1225,1250,1123
2026,MN,4430,6670,1250,1275,1147
2026,MN,4430,6670,1275,1300,1170
2026,MN,4430,6670,1300,1325,1194
2026,MN,4430,6670,1325,1350,1218
2026,MN,4430,6670,1350,1375,1242
2026,MN,4430,6670,1375,1400,1265
2026,MN,4430,6670,1400,1425,1289
2026,MN,4430,6670,1425,1450,1313
2026,MN,4430,6670,1450,1475,1337
2026,MN,4430,6670,1475,1500,1360
2026,MN,4430,6670,1500,1525,1384
2026,MN,4430,6670,1525,1550,1408
2026,MN,4430,6670,1550,1575,1432
2026,MN,4430,6670,1575,1600,1455
2026,MN,4430,6670,1600,1625,1479
2026,MN,4430,6670,1625,1650,1503
2026,MN,4430,6670,1650,1675,1527
2026,MN,4430,6670,1675,1700,1550
2026,MN,4430,6670,1700,1725,1574
2026,MN,4430,6670,1725,1750,1598
2026,MN,4430,6670,1750,1775,1622
2026,MN,4430,6670,1775,1800,1645
2026,MN,4430,6670,1800,1825,1669
2026,MN,4430,6670,1825,1850,1693
2026,MN,4430,6670,1850,1875,1717
2026,MN,4430,6670,1875,1900,1740
2026,MN,4430,6670,1900,1925,1764
2026,MN,4430,6670,1925,1950,1788
2026,MN,4430,6670,1950,1975,1812
2026,MN,4430,6670,1975,2000,1835
2026,MN,4430,6670,2000,2025,1859
2026,MN,4430,6670,2025,2050,1883
2026,MN,4430,6670,2050,2075,1907
2026,MN,4430,6670,2075,2100,1930
2026,MN,4430,6670,2100,2125,1954
2026,MN,4430,6670,2125,2150,1978
2026,MN,4430,6670,2150,2175,2002
2026,MN,4430,6670,2175,2200,2025
2026,MN,4430,6670,2200,2225,2049
2026,MN,4430,6670,2225,2250,2073
2026,MN,4430,6670,2250,2275,2097
