sss_year,state,filing_status,variable_name,type,calculation_method,income_min,income_max,num_children,youngest_child,value
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,2115,1,infant,0.1
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,2115,4230,1,infant,0.2
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,4230,6345,1,infant,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,6345,8460,1,infant,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,8460,10575,1,infant,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,10575,12690,1,infant,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,12690,14805,1,infant,0.6
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,14805,16920,1,infant,0.65
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,16920,19035,1,infant,0.7
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,19035,23265,1,infant,0.75
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,23265,25380,1,infant,0.71
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,25380,27495,1,infant,0.66
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,27495,29610,1,infant,0.61
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,29610,31725,1,infant,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,31725,33840,1,infant,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,33840,42300,1,infant,0.47
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,42300,44415,1,infant,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,44415,46530,1,infant,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,46530,48645,1,infant,0.35
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,48645,50760,1,infant,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,50760,52875,1,infant,0.2
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,52875,54990,1,infant,0.1
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,54990,59220,1,infant,0.06
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,59220,63450,1,infant,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,63450,Inf,1,infant,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,2115,1,presch,0.08
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,2115,4230,1,presch,0.18
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,4230,6345,1,presch,0.28
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,6345,8460,1,presch,0.38
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,8460,10575,1,presch,0.48
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,10575,12690,1,presch,0.53
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,12690,14805,1,presch,0.58
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,14805,16920,1,presch,0.63
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,16920,19035,1,presch,0.68
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,19035,23265,1,presch,0.73
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,23265,25380,1,presch,0.69
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,25380,27495,1,presch,0.64
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,27495,29610,1,presch,0.59
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,29610,31725,1,presch,0.53
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,31725,33840,1,presch,0.48
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,33840,42300,1,presch,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,42300,44415,1,presch,0.43
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,44415,46530,1,presch,0.38
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,46530,48645,1,presch,0.33
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,48645,50760,1,presch,0.28
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,50760,52875,1,presch,0.18
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,52875,54990,1,presch,0.08
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,54990,59220,1,presch,0.06
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,59220,63450,1,presch,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,63450,Inf,1,presch,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,2115,1,school,0.05
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,2115,4230,1,school,0.15
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,4230,6345,1,school,0.25
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,6345,8460,1,school,0.35
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,8460,10575,1,school,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,10575,12690,1,school,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,12690,14805,1,school,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,14805,16920,1,school,0.6
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,16920,19035,1,school,0.65
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,19035,23265,1,school,0.7
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,23265,25380,1,school,0.66
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,25380,27495,1,school,0.61
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,27495,29610,1,school,0.56
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,29610,31725,1,school,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,31725,33840,1,school,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,33840,42300,1,school,0.42
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,42300,44415,1,school,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,44415,46530,1,school,0.35
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,46530,48645,1,school,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,48645,50760,1,school,0.25
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,50760,52875,1,school,0.15
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,52875,54990,1,school,0.05
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,54990,59220,1,school,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,59220,63450,1,school,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,63450,Inf,1,school,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,2665,2,infant,0.1
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,2665,5330,2,infant,0.2
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,5330,7995,2,infant,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,7995,10660,2,infant,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,10660,13325,2,infant,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,13325,15990,2,infant,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,15990,18655,2,infant,0.6
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,18655,21320,2,infant,0.65
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,21320,23985,2,infant,0.7
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,23985,29315,2,infant,0.75
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,29315,31980,2,infant,0.71
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,31980,34645,2,infant,0.66
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,34645,37310,2,infant,0.61
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,37310,39975,2,infant,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,39975,42640,2,infant,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,42640,53300,2,infant,0.47
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,53300,55965,2,infant,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,55965,58630,2,infant,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,58630,61295,2,infant,0.35
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,61295,63960,2,infant,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,63960,66625,2,infant,0.2
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,66625,69290,2,infant,0.1
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,69290,74620,2,infant,0.06
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,74620,79950,2,infant,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,79950,Inf,2,infant,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,2665,2,presch,0.08
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,2665,5330,2,presch,0.18
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,5330,7995,2,presch,0.28
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,7995,10660,2,presch,0.38
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,10660,13325,2,presch,0.48
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,13325,15990,2,presch,0.53
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,15990,18655,2,presch,0.58
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,18655,21320,2,presch,0.63
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,21320,23985,2,presch,0.68
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,23985,29315,2,presch,0.73
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,29315,31980,2,presch,0.69
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,31980,34645,2,presch,0.64
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,34645,37310,2,presch,0.59
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,37310,39975,2,presch,0.53
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,39975,42640,2,presch,0.48
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,42640,53300,2,presch,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,53300,55965,2,presch,0.43
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,55965,58630,2,presch,0.38
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,58630,61295,2,presch,0.33
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,61295,63960,2,presch,0.28
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,63960,66625,2,presch,0.18
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,66625,69290,2,presch,0.08
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,69290,74620,2,presch,0.06
