sss_year,state,filing_status,variable_name,type,calculation_method,income_min,income_max,value,notes,source,source_url,effective_date,collected_by,date_collected,checked_by,date_checked
0,dummy,single_adult,standard_deduction,taxable_income_subtraction,flat,NA,NA,0,0 if not present,"this is the template for each state in the state_ti_adjustments input tab, note that this tab refers ONLY to income reducing amounts, not to TAX CREDITS. This is tricky for some states, but the key difference is income reducing NOT tax liability reducing.",NA,NA,NA,NA,NA,NA
0,dummy,single_parent,standard_deduction,taxable_income_subtraction,flat,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,married,standard_deduction,taxable_income_subtraction,flat,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,single_adult,personal_exemption,taxable_income_subtraction,per_person,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,single_parent,personal_exemption,taxable_income_subtraction,per_person,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,married,personal_exemption,taxable_income_subtraction,per_person,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,single_adult,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,0,0 (no) or 1 (yes),this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,single_parent,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,0,0 (no) or 1 (yes),this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,married,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,0,0 (no) or 1 (yes),this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,single_adult,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,single_parent,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
0,dummy,married,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,0 if not present,this is the template for each state in the state_ti_adjustments input tab,NA,NA,NA,NA,NA,NA
2025,AK,single_adult,standard_deduction,taxable_income_subtraction,flat,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_parent,standard_deduction,taxable_income_subtraction,flat,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,married,standard_deduction,taxable_income_subtraction,flat,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_adult,personal_exemption,taxable_income_subtraction,per_person,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_parent,personal_exemption,taxable_income_subtraction,per_person,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,married,personal_exemption,taxable_income_subtraction,per_person,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_adult,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_parent,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,married,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_adult,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,single_parent,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2025,AK,married,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,no state income taxes,NA,NA,2025,aku,06/24/2025,NA,NA
2026,AL,single_adult,personal_exemption,taxable_income_subtraction,flat,NA,NA,1500,NA,"Alabama Department of Revenue. 2024 Form 40A Booklet: Short Form Resident Individual Income Tax Return and Instructions. Montgomery, AL: Alabama Department of Revenue, 2024. https://www.revenue.alabama.gov/wp-content/uploads/2025/01/24f40abk.pdf.",https://www.revenue.alabama.gov/wp-content/uploads/2025/01/24f40abk.pdf.,2025,aku,NA,LMa,7/24/2025
2026,AL,single_parent,personal_exemption,taxable_income_subtraction,flat,NA,NA,3000,NA,"Alabama Department of Revenue. 2024 Form 40A Booklet: Short Form Resident Individual Income Tax Return and Instructions. Montgomery, AL: Alabama Department of Revenue, 2024. https://www.revenue.alabama.gov/wp-content/uploads/2025/01/24f40abk.pdf.",https://www.revenue.alabama.gov/wp-content/uploads/2025/01/24f40abk.pdf.,2025,aku,NA,LMa,7/24/2025
2026,AL,married,personal_exemption,taxable_income_subtraction,flat,NA,NA,3000,NA,"Alabama Department of Revenue. 2024 Form 40A Booklet: Short Form Resident Individual Income Tax Return and Instructions. Montgomery, AL: Alabama Department of Revenue, 2024. https://www.revenue.alabama.gov/wp-content/uploads/2025/01/24f40abk.pdf.",https://www.revenue.alabama.gov/wp-content/uploads/2025/01/24f40abk.pdf.,2025,aku,NA,LMa,7/24/2025
2025,AL,single_adult,dependent_exemption,taxable_income_subtraction,per_child,NA,NA,0,NA,NA,NA,2025,NA,NA,NA,NA
2026,AL,single_adult,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,1,NA,"Alabama Department of Revenue. ""Rule 810-3-15-.03 – Dependent Exemption."" Alabama Administrative Code. Accessed June 9, 2025. https://admincode.legislature.state.al.us/api/chapter/810-3-15.3#:~:text=(a)%20In%20addition%20to%20all,1.","https://admincode.legislature.state.al.us/api/chapter/810-3-15.3#:~:text=(a)%20In%20addition%20to%20all,1.",2025,NA,NA,NA,NA
2026,AL,single_parent,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,1,NA,"Alabama Department of Revenue. ""Rule 810-3-15-.03 – Dependent Exemption."" Alabama Administrative Code. Accessed June 9, 2025. https://admincode.legislature.state.al.us/api/chapter/810-3-15.3#:~:text=(a)%20In%20addition%20to%20all,1.","https://admincode.legislature.state.al.us/api/chapter/810-3-15.3#:~:text=(a)%20In%20addition%20to%20all,1.",2025,NA,NA,NA,NA
2026,AL,married,health_ins_deduction,taxable_income_subtraction,flag,NA,NA,1,NA,"Alabama Department of Revenue. ""Rule 810-3-15-.03 – Dependent Exemption."" Alabama Administrative Code. Accessed June 9, 2025. https://admincode.legislature.state.al.us/api/chapter/810-3-15.3#:~:text=(a)%20In%20addition%20to%20all,1.","https://admincode.legislature.state.al.us/api/chapter/810-3-15.3#:~:text=(a)%20In%20addition%20to%20all,1.",2025,NA,NA,NA,NA
